25	-35.94
25	3.53
25	12.99
25	34.37
25	95.27
30	-38.03
30	-20.2
30	4.25
30	16.18
30	41.39
30	83.67
35	-35.54
35	9.89
35	45.74
35	78.04
40	-39.63
40	10.19
40	26.34
40	55.68
45	-49.18
45	7.09
45	27.31
45	52.17
50	-56.26
50	9.35
50	49.27
55	-59.74
55	7.58
55	34.44
60	-63.04
60	7.91
65	-68.36
65	7.55
70	-69.6
70	5.39
75	-78.38
75	0.76
80	-74.57
80	-35.03
80	0.71
85	-75.82
85	-43.94
85	-1.49
90	-78.65
90	-46.56
90	-0.94
95	-91.74
95	-46.05
95	-2.69
100	-95.31
100	-58.08
100	-4.44
105	-101.45
105	-55.56
105	-4.27
110	-51.51
110	-6.05
115	-49.08
115	-6.36
120	-51.49
120	-4.6
125	-53.56
125	-8.85
130	-99.1
130	-51.71
130	-8.39
135	-48.55
135	-7.86
140	-77.3
140	-43.15
140	-5.87
145	-74.56
145	-38.5
145	-8.55
150	-34.2
150	-8.52
155	-30.97
155	-10.86
160	-24.54
160	-11.58
165	-14.39
170	-12.37
175	-7.32
180	-3.22
185	0.79
190	3.66
195	7.36
200	8.59
200	12.94
205	9.51
205	20.79
210	9.59
